penal,刑事的
illicit,違法的
unruly,不守法的
illegitimate,非法的，私生的
default,不履行，拖欠
violate,違法
violation,違法
infringe,侵犯，違反
bound,負有義務的
compulsory,義務的，必修的
oblige,迫使
obligatory,義務的，必須的
responsible,有責任的
domineering,專權的
mandatory,命令的
licensed,被許可的
heirship,繼承權
jurisdiction,司法權
fine,罰金
confiscate,沒收，充公
convict,判罪
verdict,判決
judgement,判決
indemnity,賠償
imprisonment,監禁，關押
invalidate,使作廢
captivity,囚禁，拘留
trial,審判
detain,拘留，阻止
extenuate,使顯得輕微
saddle,使負擔
court,法庭
bar,法院
authorize,授權
impower/empower,授權
plea,懇求
oath,誓言
pledge,誓言
plaintiff,原告
plead,抗辯
flee,逃跑
defend,辯護
proscribe,禁止
forbid,禁止
abstinence,禁戒
abstain,戒絕
ban,禁令
veto,否決
revise,修訂
verify,驗證
deserve,應得
stipulate,約定，規定
testify,證明
testimony,證言
justify,證明…是正當的
substantiate,證實
confirm,證實
affirm,證實
assure,使確定
evident,證據
follow,跟隨
observe,遵守
observance,遵守
abide,遵守
accuse,控告
accusation,控告
complaint,控告，訴苦
impeach,彈劾，控告
indictment,起訴
incriminate,使負罪
prosecute,起訴，檢舉
denounce,告發
lawsuit,訴訟
query,質問
interrogate,詢問
impunity,免罰
exempt,免除
condone,寬恕
liberate,釋放
remit,赦免
release,釋放
absolve,赦免
acquit,宣告無罪
clause,條款
bill,法案
constitution,憲法
decree,法令
legislate,立法
legislation,立法
legalize,合法化
prescribe,指示
set,規定
credential,憑證
standard,標準
enact,制定
toll,費
precious,寶貴的
prosperous,繁榮的
prosperity,繁榮
opulence,財富富裕
indigent,貧窮的
penury,貧窮
bidding,投標
drawback,退款
exponent,指數
lease,出租
redress,補償
dificit,赤字
levy,課稅
ration,定量
rebate,折扣返回款
merchandise,商品
quota,定額限額
tariff,關稅關稅表
yen,日元
disburse,支付支出，分配
acting,代理的
inertia,慣性慣量
audit,審查，查帳
surplus,過剩的
residue,殘餘
collateral,抵押品
depreciate,貶值
reimburse,償還
garner,貯藏
assess,估計
consolidate,合併
refund,退還
utility,效用
patronage,贊助
barter,易貨
deposite,存放押金
commision,傭金
ransom,賠償金
bond,公債
custon,進口稅
induction,歸納
subtraction,減法
minus,減去
quadrilateral,四邊形
rectangle,長方形，矩形
polygon,多邊形
cube,立方形
cone,圓錐形
circumference,圓周
